date,Observed,Trend,Seasonal,Remainder
2011-01-01,1067,1098.48053216371,1.00346910275136,0.96798371280571
2011-02-01,1068,1092.19006870852,0.995131234026485,0.982636002181895
2011-03-01,1128,1085.93562767643,0.996366835044083,1.04252326287427
2011-04-01,1100,1079.70235126592,0.990593472803975,1.02847366580596
2011-05-01,1096,1073.50485389592,1.00378529589361,1.01710481933601
2011-06-01,986,1067.47958641428,0.997661516863,0.925836111092044
2011-07-01,1035,1061.48813698954,1.00090548649947,0.97416413172598
2011-08-01,1063,1055.39808135977,0.998722925094241,1.00849081053725
2011-09-01,1152,1049.34296608992,0.998546603147568,1.09942772519479
2011-10-01,1063,1042.15543402656,0.998894629225677,1.02113012574285
2011-11-01,1032,1035.01713335734,1.00447157728175,0.992646249146177
2011-12-01,1027,1030.6283443911,1.01160997881694,0.985043153068689
2012-01-01,1012,1026.25816523137,1.00346910275136,0.982697569839839
2012-02-01,1009,1024.44195007743,0.995131234026485,0.98974531454777
2012-03-01,1009,1022.62894916099,0.996366835044083,0.990270451001195
2012-04-01,1013,1021.91190030487,0.990593472803975,1.00069222788775
2012-05-01,1013,1021.19535423039,1.00378529589361,0.988233985866499
2012-06-01,1014,1020.11236977423,0.997661516863,0.9963380604685
2012-07-01,1038,1019.03053383028,1.00090548649947,1.01769370090197
2012-08-01,1038,1017.35047768807,0.998722925094241,1.02160201583043
2012-09-01,1038,1015.67319142228,0.998546603147568,1.02346978391814
2012-10-01,1029,1014.96699395956,0.998894629225677,1.0149479651327
2012-11-01,1005,1014.26128751587,1.00447157728175,0.986457910470487
2012-12-01,982,1014.52212064947,1.01160997881694,0.956834579829038
2013-01-01,955,1014.78302086039,1.00346910275136,0.93783443424799
2013-02-01,1001,1013.21459931158,0.995131234026485,0.992778311824663
2013-03-01,1097,1011.64860187324,0.996366835044083,1.08832267745511
2013-04-01,1097,1010.88224702142,0.990593472803975,1.09549549504731
2013-05-01,1034,1010.11647270692,1.00378529589361,1.01978414533552
2013-06-01,1026,1011.92536606257,0.997661516863,1.01628533291524
2013-07-01,1025,1013.73749874285,1.00090548649947,1.01019516122385
2013-08-01,1000,1013.14240027113,0.998722925094241,0.988290202486431
2013-09-01,999,1012.5476511425,0.998546603147568,0.988056271374754
2013-10-01,999,1009.05975489501,0.998894629225677,0.991126127590971
2013-11-01,1025,1005.58387331194,1.00447157728175,1.01477068597705
2013-12-01,1039,1003.77983282362,1.01160997881694,1.0232081175627
2014-01-01,1070,1001.97902882523,1.00346910275136,1.06419482041431
2014-02-01,968,1000.08852938231,0.995131234026485,0.972649915958866
2014-03-01,954,998.201596868482,0.996366835044083,0.959203712939986
2014-04-01,955,995.846961982607,0.990593472803975,0.968089047529902
2014-05-01,1036,993.49788139104,1.00378529589361,1.038847934251
2014-06-01,1069,993.532075696266,0.997661516863,1.07848123298392
2014-07-01,1046,993.566271178396,1.00090548649947,1.05182084807256
2014-08-01,965,996.062589943667,0.998722925094241,0.970053451349164
2014-09-01,933,998.565180668403,0.998546603147568,0.935700554209788
2014-10-01,960,1000.56612835993,0.998894629225677,0.96051855341879
2014-11-01,995,1002.57108559609,1.00447157728175,0.988030276654091
2014-12-01,1043,1004.60387012109,1.01160997881694,1.02630479228582
2015-01-01,1045,1006.64077626198,1.00346910275136,1.03451732230506
2015-02-01,1036,1012.10961129754,0.995131234026485,1.02861262094445
2015-03-01,991,1017.60815718662,0.996366835044083,0.977403323897073
2015-04-01,974,1024.45306086063,0.990593472803975,0.959779413649736
2015-05-01,982,1031.34400652633,1.00378529589361,0.948565028481382
2015-06-01,1039,1038.17250531874,0.997661516863,1.00314290133555
2015-07-01,1045,1045.04621540385,1.00090548649947,0.999051149360919
2015-08-01,1063,1054.01879407173,0.998722925094241,1.00981051997972
2015-09-01,1042,1063.06840968475,0.998546603147568,0.981608177139817
2015-10-01,1069,1073.9652057703,0.998894629225677,0.996478231515302
2015-11-01,1105,1084.97369755092,1.00447157728175,1.01392402941033
2015-12-01,1107,1094.19492476621,1.01160997881694,1.00009169344364
2016-01-01,1121,1103.49452349552,1.00346910275136,1.01235172106433
2016-02-01,1113,1110.94851797791,0.995131234026485,1.00674822554493
2016-03-01,1146,1118.45286344307,0.996366835044083,1.02836590335106
2016-04-01,1112,1126.887986229,0.990593472803975,0.996158801146078
2016-05-01,1146,1135.38672483527,1.00378529589361,1.00554144630386
2016-06-01,1128,1146.16436968956,0.997661516863,0.986458855125003
2016-07-01,1129,1157.04432120823,1.00090548649947,0.974879362789181
2016-08-01,1130,1168.91894562222,0.998722925094241,0.967941313790391
2016-09-01,1125,1180.91543806009,0.998546603147568,0.954037363739047
2016-10-01,1184,1193.17309665256,0.998894629225677,0.993410101675097
2016-11-01,1245,1205.55798721214,1.00447157728175,1.02811949519804
2016-12-01,1281,1219.31542647571,1.01160997881694,1.0385321763543
2017-01-01,1258,1233.22986120287,1.00346910275136,1.01655903368772
2017-02-01,1258,1246.8853535807,0.995131234026485,1.01385012712408
2017-03-01,1253,1260.69205254048,0.996366835044083,0.997522712167842
2017-04-01,1263,1272.43217303666,0.990593472803975,1.00201274832633
2017-05-01,1258,1284.28162271357,1.00378529589361,0.975842083882932
2017-06-01,1296,1297.3117344639,0.997661516863,1.00133047703823
2017-07-01,1305,1310.47404760155,1.00090548649947,0.994921960883967
2017-08-01,1314,1327.64800676024,0.998722925094241,0.990985724752699
2017-09-01,1283,1345.04703323233,0.998546603147568,0.955258359389562
2017-10-01,1334,1364.92067949194,0.998894629225677,0.978427696512269
2017-11-01,1385,1385.08796739075,1.00447157728175,0.99548510110982
2017-12-01,1430,1406.24339768698,1.01160997881694,1.00522304492453
2018-01-01,1448,1427.7219498654,1.00346910275136,1.01069686945386
2018-02-01,1469,1450.95093029814,0.995131234026485,1.0173929243462
2018-03-01,1504,1474.55784533642,0.996366835044083,1.0236859882368
2018-04-01,1495,1500.10057240396,0.990593472803975,1.00606340919126
2018-05-01,1505,1526.0857581435,1.00378529589361,0.982464192919476
2018-06-01,1508,1552.85642052622,0.997661516863,0.97338986297973
2018-07-01,1553,1580.09669502646,1.00090548649947,0.981962089099944
2018-08-01,1588,1607.9594390568,0.998722925094241,0.988849935851753
2018-09-01,1635,1636.31350270532,0.998546603147568,1.00065162322875
2018-10-01,1667,1664.74929054094,0.998894629225677,1.00246007109414
2018-11-01,1713,1693.67923431214,1.00447157728175,1.00690511670211
2018-12-01,1782,1721.31592880969,1.01160997881694,1.02337312413998
2019-01-01,1803,1749.40358643372,1.00346910275136,1.02707393832719
2019-02-01,1812,1774.19470398063,0.995131234026485,1.02630526585246
2019-03-01,1796,1799.33714097949,0.996366835044083,1.00178499996016
2019-04-01,1815,1819.16665003876,0.990593472803975,1.0071836838134
2019-05-01,1835,1839.21468925594,1.00378529589361,0.993946050070752
2019-06-01,1851,1852.43575452029,0.997661516863,1.00156708468029
2019-07-01,1854,1865.75185848118,1.00090548649947,0.992802305590641
2019-08-01,1912,1874.3118200235,0.998722925094241,1.02141216262664
2019-09-01,1927,1882.91105417395,0.998546603147568,1.02490490344926
2019-10-01,1906,1891.16331630402,0.998894629225677,1.00896054384015
2019-11-01,1936,1899.4517457454,1.00447157728175,1.01470414749972
2019-12-01,1910,1906.30255041152,1.01160997881694,0.990440597855646
2020-01-01,1906,1913.17806406257,1.00346910275136,0.992803955169513
2020-02-01,1855,1917.6371237684,0.995131234026485,0.972069076819693
2020-03-01,1889,1922.10657624103,0.996366835044083,0.986359496162223
2020-04-01,1958,1926.88441685499,0.990593472803975,1.02579732200898
2020-05-01,1965,1931.67413389725,1.00378529589361,1.01341624266538
2020-06-01,1943,1939.80477424747,0.997661516863,1.0039950147551
2020-07-01,1928,1947.96963740543,1.00090548649947,0.988853093184228
2020-08-01,1927,1957.15195165487,0.998722925094241,0.985852972996851
2020-09-01,1972,1966.37754937925,0.998546603147568,1.00431896756457
