date,Raw_Data,Trend_LOESS,Seasonal_LOESS,Remainder_LOESS,Resid_LOESS,Year,Month,Month_label,Phase
2011-01-01,1067,1098.4805321637057,1.0034691027513583,0.9679837128057105,-35.29127400014818,2011,1,Jan,Phase 1 Stable (2011-2015)
2011-02-01,1068,1092.190068708524,0.9951312340264848,0.9826360021818953,-18.872450865384735,2011,2,Feb,Phase 1 Stable (2011-2015)
2011-03-01,1128,1085.935627676428,0.9963668350440833,1.0425232628742738,46.0097555904274,2011,3,Mar,Phase 1 Stable (2011-2015)
2011-04-01,1100,1079.7023512659189,0.9905934728039755,1.0284736658059623,30.453898264875534,2011,4,Apr,Phase 1 Stable (2011-2015)
2011-05-01,1096,1073.504853895916,1.0037852958936078,1.0171048193360108,18.4316125888638,2011,5,May,Phase 1 Stable (2011-2015)
2011-06-01,986,1067.4795864142823,0.9976615168629996,0.925836111092044,-78.98330340236043,2011,6,Jun,Phase 1 Stable (2011-2015)
2011-07-01,1035,1061.4881369895427,1.0009054864994733,0.9741641317259795,-27.449300166937746,2011,7,Jul,Phase 1 Stable (2011-2015)
2011-08-01,1063,1055.398081359766,0.9987229250942409,1.0084908105372534,8.949741045524888,2011,8,Aug,Phase 1 Stable (2011-2015)
2011-09-01,1152,1049.3429660899246,0.9985466031475683,1.099427725194793,104.18214567411178,2011,9,Sep,Phase 1 Stable (2011-2015)
2011-10-01,1063,1042.1554340265561,0.9988946292256771,1.0211301257428462,21.99653413251872,2011,10,Oct,Phase 1 Stable (2011-2015)
2011-11-01,1032,1035.0171333573373,1.0044715772817503,0.9926462491461766,-7.645292457080359,2011,11,Nov,Phase 1 Stable (2011-2015)
2011-12-01,1027,1030.628344391098,1.0116099788169446,0.9850431530686894,-15.593917637621189,2011,12,Dec,Phase 1 Stable (2011-2015)
2012-01-01,1012,1026.2581652313731,1.0034691027513583,0.9826975698398388,-17.818360255981133,2012,1,Jan,Phase 1 Stable (2011-2015)
